category,product_name,active_ingredients,strength,form,package,pharmacy,sku,wholesale_cost,retail_price,rx_required,tags,notes
Hormone Therapy,Testosterone,,4MG/ML,cream,30mLTube,V Pharm,TESTOS4MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,5MG/ML,cream,30mLTube,V Pharm,TESTOS5MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,6MG/ML,cream,30mLTube,V Pharm,TESTOS6MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,7MG/ML,cream,30mLTube,V Pharm,TESTOS7MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,8MG/ML,cream,30mLTube,V Pharm,TESTOS8MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,9mg/ml,cream,30mLTube,V Pharm,TESTOS9MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,10mg/ml,cream,30mLTube,V Pharm,TESTOS10MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,20mg/ml,cream,30mLTube,V Pharm,TESTOS20MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,50mg/ml,cream,30mLTube,V Pharm,TESTOS50MGMCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,120mg/ml,cream,30mLTube,V Pharm,TESTOS120MGMCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,200mg/ml,cream,30mLTube,V Pharm,TESTOS200MGMCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone Cypionate,,25mg/mlGSO;5mLVial,injectable,5ml,V Pharm,TRTGSO255,20,,yes,men's-sexual-health,
Hormone Therapy,TestosteroneCypionate,,25mg/mlMCT;5mLVial,injectable,5ml,V Pharm,TRTMCT255,20,,yes,men's-sexual-health,
Hormone Therapy,TestosteroneCypionate,,200mg/mlGSO;5mLVial,injectable,5ml,V Pharm,TRTGSO5,20,,yes,men's-sexual-health,
Hormone Therapy,TestosteroneCypionate,,200mg/mlMCT;5mLVial,injectable,5ml,V Pharm,TRTMCO5,20,,yes,men's-sexual-health,
Hormone Therapy,TestosteroneCypionate-Commercial,,200mg/ml;10mLVial,injectable,10ml,V Pharm,TESTOS200MGCOM,31.25,,yes,men's-sexual-health,
Hormone Therapy,TestosteroneEnanthate,,200mg/mlGSO;5mLVial,injectable,5ml,V Pharm,TESTOS200MGMOILI,20,,yes,men's-sexual-health,
Dermatology,Tretinoin,,0.024%,cream,30mLTube,V Pharm,TRETCR0.024,31.25,,yes,,
Dermatology,Tretinoin,,0.1%,cream,30mLTube,V Pharm,TRETCR01,37.5,,yes,,
Sexual Wellness,Vardenafil,,20mg,capsule,,V Pharm,VAR-20-CAP-VS,1,,yes,,
Dermatology,Tretinoin,,0.024%,cream,Cream,V Pharm,TRETCR0.024,0.94,,yes,,
Dermatology,Tretinoin,,0.015%,cream,Cream,V Pharm,TRETCR015,0.94,,yes,,
Dermatology,Tretinoin,,0.1%,gel,Gel,V Pharm,TRETCR0100,1.25,,yes,,
Hair Restoration,Biotin / Minoxidil / Spironolactone Capsule,,5/1.25/25 mg,capsule,,V Pharm,BMS525,0.75,,yes,,
Hair Restoration,Biotin / Minoxidil Capsule,,5/1.25mg,capsule,,V Pharm,BIOMIN,0.63,,yes,,
Sexual Wellness,Ergoloid Pentoxifylline Arginine Cream,,Ergoloid 0.05% – Pentoxifylline 5% - Arginine 6%,cream,8GRAMS,V Pharm,ERG-PEN-ARG-CRM-VS,31.25,,yes,,
Hair Restoration,Finasteride,,5mg,capsule,,V Pharm,FINA5,0.5,,yes,,form inferred
Hair Restoration,Finasteride Tretinoin in Minoxidil Scalp Solution,,Finasteride 0.25% - Tretinoin 0.01% in Minoxidil 5%,solution,30ML,V Pharm,FINTM,40,,yes,,
Hormone Therapy,Gonadorelin,,1mg/ml,injectable,5ML,V Pharm,GN1,50,,yes,peptide|fertility,
Weight Management,Methionine/Inositol B12 (Cyanocobalamin),,25/50/50/1MG/ML,injectable,10ML,V Pharm,MEINB12CY,37.5,,yes,lipotropic|injectable,
Hair Restoration,Minoxidil Azelaic acid Finasteride Niacinamide Scalp Suspension,,Minoxidil 7% - Azelaic acid 5% – Finasteride 0.1% - Niacinamide 5%,solution,30ML,V Pharm,MAFNSS,40,,yes,,
Wellness / Longevity,NAD+,,200mg/mL,injectable,5ML,V Pharm,NAD200,43.75,,yes,,
Wellness / Longevity,NAD+Nasal Spray,,30mg/0.1mL,nasal-spray,15ML,V Pharm,NADNS,62.5,,yes,,
Wellness / Longevity,NAD+ Package Bundle IontoPatch Patches,,600mg/mL,patch,6 PATCHES,V Pharm,NADPATCH,106.25,,yes,,
Sexual Wellness,Oxytocin Nasal Spray,,20 units/0.1ml,nasal-spray,12mL,V Pharm,OXYT50,50,,yes,peptide,
Sexual Wellness,Oxytocin Nasal Spray,,20 units/0.1ml,nasal-spray,24mL,V Pharm,OXYT20,75,,yes,peptide,
Sexual Wellness,Scream Cream,,CMPD Sildenafil 1% - Ergoloid 0.05% – Pentoxifylline 5% – Arginine 6%,cream,8 GRAMS,V Pharm,SCREAMCR-VS,31.25,,yes,,
Peptide Therapy,Sermorelin,,3MG/ML,injectable,5 ML VIAL,V Pharm,SER3MG,56.25,,yes,,
Peptide Therapy,Sermorelin Sublingual Suspension in SubMagna™ SL HMW,,2mg/1ml,troche,15mL,V Pharm,SERMSUBSL,50,,yes,,
Sexual Wellness,Sildenafil,,20mg,troche,,V Pharm,SIL20,0.5,,yes,,form inferred
Sexual Wellness,Sildenafil,,100mg,troche,,V Pharm,SIL100,1,,yes,,form inferred
Sexual Wellness,Tadalafil,,5mg,troche,,V Pharm,TADA5MG,0.5,,yes,,form inferred
Sexual Wellness,Tadalafil Sildenafil troche,,5mg/25mg,troche,,V Pharm,TADA5SIL25,1.5,,yes,,
Sexual Wellness,Tadalafil Oxytocin troche,,5mg/100IU,troche,,V Pharm,TADA5OX100,1.5,,yes,peptide,
Sexual Wellness,Tadalafil,,10mg,troche,,V Pharm,TADA10MG,0.5,,yes,,form inferred
Sexual Wellness,Tadalafil Oxytocin troche,,10mg/100IU,troche,,V Pharm,TADA10OX100,1,,yes,peptide,
Sexual Wellness,Tadalafil Oxytocin PT 141 troche,,10mg/100IU/1000mcg,troche,,V Pharm,TAD-OXY-PT141-TRO-VS,2.19,,yes,peptide,
Sexual Wellness,Tadalafil - Sildenafil (Berry) Rapid Dissolve Tablet,,12mg/55mg,troche,,V Pharm,TADA12SIL55B,1.5,,yes,,
Sexual Wellness,Tadalafil,,20mg,troche,,V Pharm,TADA20MG,0.75,,yes,,form inferred
Sexual Wellness,Tadalafil /Oxytocin troche,,20mg/100IU,troche,,V Pharm,TADA20OX100,1,,yes,peptide,
Sexual Wellness,Tadalafil Oxytocin PT 141 troche,,20mg/100IU/1000mcg,troche,,V Pharm,TAD-20-OXY-PT141-TRO-VS,2.19,,yes,peptide,
Sexual Wellness,Tadalafil /Oxytocin troche,,40mg/125IU,troche,,V Pharm,TADA40OX125,1,,yes,peptide,
Hormone Therapy,Testosterone Cypionate -MCT oil (does not ship to Alabama or Cali),,200mg/ml,injectable,5mL,V Pharm,TRTMCO5,20,,yes,men's-sexual-health,
